file	status	slides	text_chars	sample
D:\Project\Project-On\CANTIQUE D'ADORATION\Amen amen amen.ppt	OK	2	240	437.AMEN ! AMEN ! AMEN ! ( F ) * Amen ! Amen ! Amen !Amen ! Amen! Allez-vous L’aimer ? Amen ! Allez-vous le louer ? Amen ! Allez-vous l’adorer ? Amen ! Amen ! Amen ! | Le servirez-vous ? Amen ! Croyez-vous en Lui ? Amen 
D:\Project\Project-On\CANTIQUE D'ADORATION\Amène-les.ppt	OK	4	458	233. AMENES-LES ( G ) Ecoute la voix du Berger Venant du désert sombre et sec Appelant la brebis perdue Qui s’est éloigné du troupeau | Amènes-les, amènes-les Et sors-les de la vie du péché Amènes-les, amènes-les Amènes 
D:\Project\Project-On\CANTIQUE D'ADORATION\Ami de Jésus.ppt	OK	8	816	106. AMI DE JESUS ( Eb ) Ami de Jésus, oh quelle joie Pour un ignoble comme moi D’avoir toujours un tel ami Pour me conduire au ciel. | Ami de Jésus Communion divine Oh, quelle bénie douce communion Jésus est bien mon am
D:\Project\Project-On\CANTIQUE D'ADORATION\Amour de Dieu est si merveilleux.ppt	OK	1	254	547.AMOUR DE DIEU EST SI MERVEILLEUX L’Amour de Dieu est si merveilleux (3x) Oh ! Quel amour ! Comment Il est ? Il est si haut, qu’on ne peut surmonter, Il est si bas, qu’on ne peut renverser, Il est si large, qu’on ne p
D:\Project\Project-On\CANTIQUE D'ADORATION\Appartiens-tu à l'Epouse.ppt	OK	8	1384	286.APPARTIENS-TU A L’EPOUSE ( G ) * Appartiens-tu à l’Epouse, De Jésus, notre Seigneur? Sera-ce pour toi un jour de joie Ou un jour de frayeur ? Quand Il reviendra, Ton vêtement sera-il pur et serein? Oui, c’est l’insta
D:\Project\Project-On\CANTIQUE D'ADORATION\Apportant les fruits.ppt	OK	6	1142	109. APPORTANT LES FRUITS ( Bb ) Semant le matin, les semences d’amour En plein midi et dans la rosée du soir Attendant la moisson, le temps de récolte, Nous serons dans la joie apportant les fruits. | Apportant les frui
D:\Project\Project-On\CANTIQUE D'ADORATION\Apprends-moi Seigneur à attendre.ppt	OK	4	786	5. APPRENDS-MOI, SEIGNEUR, A ATTENDRE ( D ) Apprends-moi, Seigneur, à attendre A genoux jusqu’à ce que Tu m’exauces, A me défier de ce que font les autres, Et à attendre de Toi une réponse en prière. | Ceux qui s’attende
D:\Project\Project-On\CANTIQUE D'ADORATION\Assurance bénie.ppt	OK	6	773	438a.ASSURANCE BENIE ( Eb ) * Assurance bénie, Jésus est mien Oh ! Quel avant goût de la divine gloire ! Héritier du salut, acquis de Dieu, Né de Son esprit, lavé par Son Sang. | Chœur C’est mon histoire, c’est ma chanso
D:\Project\Project-On\CANTIQUE D'ADORATION\Attire-moi plus près.ppt	OK	6	886	6. ATTIRE-MOI PLUS PRES ( Ab ) Je suis Tien, Seigneur, j’ai saisi Ta voix, Me parlant de Ton amour, Mon ardent désir : grandir dans la foi Et être plus près de Toi. | Attire-moi plus près, Seigneur béni, De la croix où T
D:\Project\Project-On\CANTIQUE D'ADORATION\Au  dessus des Puissances.ppt	OK	3	512	Au dessus des Puissances Au dessus des Rois Par dessus de la nature Et les choses créées Au dessus de sagesse Et toutes les voies humaines Tu étais avant que le monde ne fût. | Au dessus des royaumes Au dessus des trônes
D:\Project\Project-On\CANTIQUE D'ADORATION\Au tribunal Jésus se tient.ppt	OK	8	943	AU TRIBUNAL Au tribunal, Jésus se tient Méprisé, seul et sans soutien, Pilate, au peuple di soudain : Que dois-je faire à Jésus ? | Chœur Que feras-tu de Jésus ? Il se tient devant toi, Un jour, tu diras plein d’effroi, 
D:\Project\Project-On\CANTIQUE D'ADORATION\Au-delà du pont.ppt	OK	1	178	289a. AU DELA DU PONT. ( Bb ) * Au delà du pont. N’y a plus de chagrin Au delà du pont. N’y a plus de douleur Le soleil brille à l’autre rive et nous ne serons plus malheureux.
D:\Project\Project-On\CANTIQUE D'ADORATION\Aujourd'hui je ne me soucie du lendemain.ppt	OK	5	815	182. VIVANT PAR LA FOI ( Eb ) * Aujourd’hui je ne me soucie du lendemain, Qu’il y ait l’ombre, pluie ou soleil. Je sais, le Seigneur règne sur toutes choses, Et toutes mes inquiétudes sont vaines. | En Jésus Christ, je v
D:\Project\Project-On\CANTIQUE D'ADORATION\Avance et touche le Seigneur.ppt	OK	1	243	260. AVANCE ET TOUCHE LE SEIGNEUR ( D ) Avance et touche le Seigneur Comme Il passe ici Tu verras qu’Il connaît ton problème Pour entendre ton cris Il passe en ce moment Pour combler ton cœur Avance et touche le Seigneur
D:\Project\Project-On\CANTIQUE D'ADORATION\Béni soit la fontaine de sang.ppt	OK	4	827	Bénie soit la fontaine de sang Eb Bénie soit la fontaine de sang, Révélée au monde des pécheurs; Béni soit le cher Fils de Dieu Qui guérit par Ses meurtrissures. J’ai erré loin de Sa bergerie, J’ai causé de la peine à mo
D:\Project\Project-On\CANTIQUE D'ADORATION\Béni soit le lien qui unit.ppt	OK	4	516	7. BENI SOIT LE LIEN QUI UNIT ( F) * Béni soit le Lien qui unit Nos cœurs en Christ La communion, fraternité; C’est comme Là au Ciel. | * Devant le trône du Père, Nous versons nos prières; Nos peurs, espoirs, nos buts, s
D:\Project\Project-On\CANTIQUE D'ADORATION\Bénis-moi oh Seigneur.ppt	OK	4	621	291.BENIS-MOI OH SEIGNEUR ( D ) Bénis-moi oh Seigneur, bénis-moi pour l’éternité( x2) Selon Ta promesse et Serment fait à Abraham notre Père; bénis-moi oh Seigneur Jésus. | Remplis-moi oh Seigneur, remplis-moi pour l’éte
D:\Project\Project-On\CANTIQUE D'ADORATION\Bientôt dans la douceur.ppt	OK	6	874	111. BIENTOT DANS LA DOUCEUR ( G ) * Il y a un endroit plus beau qu’un jour Et par la foi nous pouvons le voir Car le Père nous attend sur le chemin Pour nous préparer là un palais. | Bientôt dans la douceur Nous nous re
D:\Project\Project-On\CANTIQUE D'ADORATION\Bientôt très bientôt.ppt	OK	1	177	292.BIENTOT TRES BIENTOT ( Ab ) * Bientôt, très bientôt nous verrons le Seigneur Bientôt, très bientôt nous verrons le Seigneur Alléluia, Alléluia, nous verrons le Seigneur
D:\Project\Project-On\CANTIQUE D'ADORATION\Bon sauveur berger fidèle.ppt	OK	10	1197	112. BON SAUVEUR BERGER FIDELE ( G ) * Bon Sauveur, Berger fidèle, Conduis-moi par ton amour, Et, de Ta main paternelle; Nourris-nous au jour le jour. | Béni sois-Tu, tendre Maître, Jésus, nous sommes à Toi, A Toi seul n
D:\Project\Project-On\CANTIQUE D'ADORATION\Caché avec Dieu.ppt	OK	1	193	439.CACHE AVEC DIEU ( A ) * Caché avec Dieu Dans un endroit secret là dans l’Esprit Contemplant Son visage Renouvelant ma force Pour courir mon chemin J’aime être caché avec Dieu.
D:\Project\Project-On\CANTIQUE D'ADORATION\Cantique LIBRES DE NOS CHAINES.ppt	OK	8	887	LIBRES DE NOS CHAINES Libres de nos chaînes Nous marchons vers toi Ta main souveraine Affermit nos pas Armée de lumière Couronnes d’éclat Soyons sur la terre Messagers de joie. | Chœur Alléluia Que ton, règne vienne Mara
D:\Project\Project-On\CANTIQUE D'ADORATION\Ce monde n'est pas chez moi.ppt	OK	6	1364	113. CE MONDE N’EST PAS CHEZ MOI ( F ) * Ce monde n’est pas chez moi, Je suis juste un passant Et mes trésors s’entassent Quelque part là au Ciel Les anges me font signe Depuis la porte du Ciel; Et je ne me sens jamais C
D:\Project\Project-On\CANTIQUE D'ADORATION\Ce monde n'est pas chnez moi.ppt	OK	6	1337	113. CE MONDE N’EST PAS CHEZ MOI ( F ) * Ce monde n’est pas chez moi, Je suis juste un passant Et mes trésors s’entassent Quelque part là au Ciel Les anges me font signe Depuis la porte du Ciel; Et je ne me sens jamais C
D:\Project\Project-On\CANTIQUE D'ADORATION\Ce n'est pas secret.ppt	OK	4	694	294.CE N’EST PAS SECRET ( C ) * Ce n’est pas secret ce que Dieu peut faire, Il fera pour toi ce qu’Il fit pour d’autres. Il te pardonnera à bras large ouvert, Ce n’est pas secret ce que Dieu fait. | * Ce n’est pas secret
D:\Project\Project-On\CANTIQUE D'ADORATION\Ce vieux monde ne peut me tenir.ppt	OK	1	170	440.CE MONDE NE PEUT ME TENIR. ( Ab ) * Ce vieux Monde ne peut me tenir, D’un moment à l’autre je m’en irai, Car je fais ma consécration Et je porte ma tenue de noces.
D:\Project\Project-On\CANTIQUE D'ADORATION\c'est assez.ppt	OK	5	806	C’est ASSEZ (Mi) C’est assez pour me faire chanter C’est assez pour me faire chanter Tous mes péchés sont pardonnés Je suis en route pour le ciel C’est assez pour faire chanter | C’est assez pour me faire danser C’est as
D:\Project\Project-On\CANTIQUE D'ADORATION\C'est cette onction.ppt	OK	2	468	546a. C’EST CETTE ONCTION C’est cette onction qui marque la différence, Une fois, tu la connais Jamais tu ne seras le même Tu ne peux vivre sans cette Onction Une fois qu’Elle est sur toi Elle t’enseignera comment marche
D:\Project\Project-On\CANTIQUE D'ADORATION\C'est comme le ciel pour moi.ppt	OK	4	745	8. C’EST COMME LE CIEL POUR MOI ( F ) * Nous trouvons bien des gens qui ne peuvent comprendre Pourquoi nous sommes si heureux, libres, Nous sommes passés du Jourdain au beau Canaan, Ceci est comme le Ciel pour moi. | Cec
D:\Project\Project-On\CANTIQUE D'ADORATION\C'est encore jour de grâce.ppt	OK	6	1181	296.C’EST ENCORE JOUR DE GRACE ( A ) * C’est encore jour de grâce Pour toi pauvre pécheur Saisis l’instant qui passe Pour venir au Sauveur Sur la croix du Calvaire Il porta tes péchés O viens à Lui mon frère Pour être li
D:\Project\Project-On\CANTIQUE D'ADORATION\C'est la trace à pas sanglants.ppt	OK	10	1143	9. C’EST LA TRACE A PAS SANGLANT. ( C ) * J’aimerais, m’en aller au Pays du bonheur Mais où est le chemin qui me conduit au ciel.(2x) | C’est la trace à pas sanglant qui me conduit au ciel j’aimerais y marcher Jusqu’aux 
D:\Project\Project-On\CANTIQUE D'ADORATION\C'est mon commandement.ppt	OK	8	1085	300.COMME UN FLEUVE IMMENSE ( F ) *Comme un fleuve immense, Est la paix de Dieu. Parfaite elle avance Vainqueur en tout lieu; Parfaite elle augmente Constamment son cours; Parfaite sa pente S’abaisse toujours. | Fondés s
D:\Project\Project-On\CANTIQUE D'ADORATION\C'est mon joyeux service.ppt	OK	8	793	10. C’EST MON JOYEUX SERVICE ( Bb ) C’est mon joyeux service D’offrir à Jésus-Christ En vivant sacrifice Mon corps et mon esprit | Accepte mon offrande Bien-aimé Fils de Dieu Et que sur moi descende La flamme du saint li
D:\Project\Project-On\CANTIQUE D'ADORATION\Ceux qui s'entendent au Seigneur.ppt	OK	1	243	298.CEUX QUI S’ATTENDENT AU SEIGNEUR ( D ) * Ceux qui s’attendent au Seigneur Renouvelleront leur force Ils prendront de l’envol comme des aigles Ils couront sans se fatiguer Ils marcheront sans se lasser. Enseigne-moi S
D:\Project\Project-On\CANTIQUE D'ADORATION\chant ETERNEL est MON BERGER Mente 2.ppt	OK	3	598	L’Eternel est mon berger L’Eternel est mon berger/ je ne manquerai de rien. Il me fait reposer dans de verts pâturages, Il me mène à des eaux paisibles. Il restaure mon âme, Il me conduit dans la justice, A cause de son 
D:\Project\Project-On\CANTIQUE D'ADORATION\Chante alléluia.ppt	OK	1	141	299.CHANTE ALLELUIA. ( Ebm ) Chante alléluia au Seigneur ! X2 Chante alléluia, chante alléluia Chante alléluia au Seigneur ! X4
D:\Project\Project-On\CANTIQUE D'ADORATION\Chaque fois que je m'arrête.ppt	OK	4	729	11. CHAQUE FOIS QUE JE M’ARRETE ( A ) Chaque fois que je m’arrête Et regarde autour de moi Je vois les signes De son apparition partout Les choses qu’il a prophétisées Sont maintenant devant nous Et je sens comme une gra
D:\Project\Project-On\CANTIQUE D'ADORATION\Chaque jour de ma vie.ppt	OK	5	430	WEWE MUNGOJWA Wewe mungojwa Manganga mukubwa ni apa leo Usiliye liye usiogope kwa sababu Akuna magojwa unatamushinda | Kumbuka lazaro Bwana Yesu alimufufua toka wafu | Wewe mungojwa Manganga mukubwa ni apa leo Usiliye li
D:\Project\Project-On\CANTIQUE D'ADORATION\Chaque promesse dans le livre est mien.ppt	OK	1	204	215. CHAQUE PROMESSE EST MIENNE ( Ab ) Chaque promesse dans le livre est mienne, Chaque chapitre, chaque verset et chaque ligne Oui, je crois en Son amour divin, Chaque promesse dans le livre est mienne.
D:\Project\Project-On\CANTIQUE D'ADORATION\Combien de temps pensez-vous.ppt	OK	10	1392	13. COMBIEN DE TEMPS PENSEZ-VOUS ? ( E ) * Voyez comment toutes les prophéties S’accomplissent sous nos yeux, Annonçant la venue du Seigneur, Oh ! Bientôt s’ouvriront les cieux | Combien de temps pensez-vous Nous reste e
D:\Project\Project-On\CANTIQUE D'ADORATION\Combien j'admire tes demeures.ppt	OK	1	183	572. COMBIEN J’ADMIRE TES DEMEURES Combien j’admire Tes demeures Mon cœur soupire après le Seigneur Mon âme et ma chair crient vers Toi le Dieu vivant Tu es mon Dieu et mon Roi (2x)
D:\Project\Project-On\CANTIQUE D'ADORATION\COME AND GO WITH ME.ppt	OK	1	179	COME AND GO WITH ME Come and go with me to my Father’s house, to my Father’s House, to my Father’s house Come and go with me to my Father’s house Where there’s peace, peace, peace
D:\Project\Project-On\CANTIQUE D'ADORATION\Comme Tu veux Seigneur.ppt	OK	4	716	14. COMME TU VEUX, SEIGNEUR ( Eb ) Comme Tu veux, Seigneur ! Comme Tu le veux ! Tu es le Potier, Je suis l’argile, Taille-moi, façonne-moi Selon Ton gré Pendant que j’attends, Calme et soumis. | Comme Tu veux, Seigneur !
D:\Project\Project-On\CANTIQUE D'ADORATION\COMME UN FLEUVE IMMENSE.ppt	OK	8	1046	COMME UN FLEUVE IMMENSE Comme un fleuve immense Est la paix de Dieu Parfaite elle avance Vainqueur en tout lieu Parfaite elle augmente Constamment son cours Parfaite sa pente S’abaisse toujours. | Chœur Fondés sur Dieu m
D:\Project\Project-On\CANTIQUE D'ADORATION\Comme une biche soupire.ppt	OK	6	833	301.COMME UNE BICHE SOUPIRE ( E ) * Comme une biche soupire Après l’eau du ruisseau, Ainsi mon âme soupire. J’ai soif de Ta présence O Dieu vivant, je voudrai T’adorer | Toi seul est mon bouclier, et ma force, A Toi seul
D:\Project\Project-On\CANTIQUE D'ADORATION\Comment joindre la foule.ppt	OK	8	1177	445.COMMENT JOINDRE LA FOULE. ( Ab ) * Comment joindre la foule, les hommes de toutes couches ? En réponse, Jésus donna la clé: « Et Moi, si Je suis élevé de la terre, J’attirerai les hommes à Moi». | Elevez- Le, élevez 
D:\Project\Project-On\CANTIQUE D'ADORATION\Comment ne pourrai-je te louer.ppt	OK	7	1554	302.COMMENT NE POURRAI-JE TE LOUER ( G ) * J’étais éloigné de ta Parole Tu m’as envoyé ton Saint Prophète (x2) Comment ne pourrai-je Te louer, Pour tout ce que Tu as fait pour moi Tu as toujours été Mon Secours Chaque fo
D:\Project\Project-On\CANTIQUE D'ADORATION\Comment voulez-vous.ppt	OK	6	721	304.COMMENT VOULEZ-VOUS ( Ab ) * Comment voulez-vous que l’on avance en paix Avec toute cette misère. Qui ne fait que s’empirer Oh ! Dieu vient règne sur nous | Oh ! Que Ton règne vienne Oh ! Roi de Salem Viens, met fin 
D:\Project\Project-On\CANTIQUE D'ADORATION\Compte les bienfaits de Dieu.ppt	OK	8	996	117a. COMPTE LES BIENFAITS DE DIEU ( D ) Quand le vol de la tempête Vient assombrir ton ciel bleu, Au lieu de baisser la tête, Compte les bienfaits de Dieu. | Chœur Compte les bienfaits de Dieu, Mets-les tous devant tes 
D:\Project\Project-On\CANTIQUE D'ADORATION\Conduis-moi Seigneur.ppt	OK	5	707	305.CONDUIS-MOI SEIGNEUR ( C ) * Conduis-moi Seigneur Oh Jésus, conduis-moi (x2) Chaque jour, chaque nuit Par la force du saint Esprit Conduis-moi, oh Jésus Conduis-moi. | * Parle-moi Seigneur Oh Jésus, parle-moi (x2) Ch
D:\Project\Project-On\CANTIQUE D'ADORATION\Connais-tu cette cité.ppt	OK	4	858	16. CONNAIS-TU CETTE CITE ? ( Eb ) * Connais-tu cette cité, La cité céleste ? Dans ses murs tout est clarté, Plus d’ombre funeste. Pèlerins et voyageurs, Ici-bas dans les douleurs, Toujours ce trésor nous reste, La cité 
D:\Project\Project-On\CANTIQUE D'ADORATION\Copie de A Golgotha - Copie.ppt	OK	1	126	179. A GOLGOTHA A Golgotha, Tu meurs pour moi, Dans Ton immense amour Jésus mon Roi, Je viens à Toi, Pour T’aimer à mon tour.
D:\Project\Project-On\CANTIQUE D'ADORATION\Crée en moi un coeur pur.ppt	OK	1	272	216. CREE EN MOI UN CŒUR PUR ( A ) Crée en moi un cœur pur O Jésus Et déverse Ton Esprit Dans mon cœur Ne m’éloigne pas De Ta présence Seigneur Ne me retire pas Ton Saint-Esprit, oh ! Oui ! Restaure en mon âme La joie de
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans le péché je sombrais.ppt	OK	6	1192	143. L’AMOUR M’A SAUVE ( Bb ) * Dans le péché je sombrais, Loin de la rive de paix, Au dedans si fort souillé, Au point de non-retour; Mais le Maître de la mer Perçut mon cri d’angoisse, Des eaux il m’a tiré et Je suis s
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans les verts paturages si doux et si riche.ppt	OK	8	1471	448.DANS LE VERT PATURAGES(C) *Dans de verts pâturages, Si doux et si riche Dieu conduit Ses très chers enfants; Là où coule l’eau qui ravie les fatigués Dieu conduit Ses très chers enfants. | Chœur Certains par les eaux
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans ma vie.ppt	OK	8	1225	307a.DANS MA VIE. ( G ) * Dans ma vie (x2) Je veux servir Jésus, Dans ma vie. * Dans mon cœur (x2) Je veux aimer Jésus, Dans mon cœur. | * De ma bouche (x2) Je veux prêcher Jésus, De ma bouche. * De mes yeux (x2) Je veux
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans mon coeur chante un amour.ppt	OK	7	913	DANS MON CŒUR CHANTE UN AMOUR Chœur Dans mon cœur chante un amour Amour de mon Sauveur Dans mon cœur chante un amour Qui fait tout mon bonheur | C’est pour moi qu’Il fut tant maltraité Pour qui ne mérite rien C’est pour 
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans mon coeur chante une mélodie.ppt	OK	8	913	449.DANS MON CŒUR CHANTE UNE MELODIE ( Ab ) * Dans mon cœur chante une mélodie, Jésus y murmure doucement: « Ne crains point car je suis avec toi Dans les épreuves de ta vie». | Jésus, Jésus, Jésus; le Nom le plus doux, 
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans ta présence.ppt	OK	2	410	264. DANS TA PRESENCE ( Eb) Dans Ta présence Oui là je suis fort ! Dans ta présence, Seigneur je viens ; Dans ta présence, je veux demeurer ; Cherchant Ta face, touchant Ta grâce Dans le creux du Rocher ; Dans ta présenc
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans ton sanctuaire.ppt	OK	3	472	308.DANS TON SANCTUAIRE.( D ) * Dans Ton Sanctuaire, je viens Sincèrement dans mon cœur je veux être Tout près du Trône de Ta gloire. | * En m’approchant de Toi Conscient d’être ici pour T’obéir Combien je brûle d’être p
D:\Project\Project-On\CANTIQUE D'ADORATION\Dans une crêche il y a longtemps.ppt	OK	10	1888	452.DANS UNE CRECHE IL Y A LONGTEMPS ( F) * Dans une crèche, il y a longtemps, Pour moi, c’est évident Un bébé naquit, Sauveur des pécheurs. Jean Le vit sur le rivage, L’Agneau plus que jamais O Christ le crucifié du Cal
D:\Project\Project-On\CANTIQUE D'ADORATION\Debout sur les promesses.ppt	OK	10	1502	118. DEBOUT SUR LES PROMESSES ( Bb ) * Debout sur les promesses de Christ, Mon Roi, Que ses louanges raisonnent dans l’éternité, Gloire dans les lieux très hauts je chanterai, Debout sur les promesses de Dieu. | Debout, 
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu a pourvu un Agneau.ppt	OK	8	823	312.DIEU A POURVU UN AGNEAU. ( D ) * Dieu a pourvu un agneau Pour enlever mes péchés. Quand moi j’étais dans le monde, Jésus Christ est mort pour moi. | Chœur Aie pitié de moi Jésus, Fils de Dieu Enlève de mon cœur Toute
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu dû aimer un pécheur.ppt	OK	8	1163	313.DIEU DUT AIMER UN PECHEUR. ( Ab ) * Dieu dût aimer un pécheur tel que moi, Il a changé ma tristesse en joie J’étais sans repos, Il m’a ramené Quel est ce merveilleux amour ! | Oh ! Quel merveilleux amour, Oh ! Quel m
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu est si bon.ppt	OK	4	293	203. DIEU EST SI BON ( Eb ) Dieu est si bon (3x) Il est bon pour moi. Il vient bientôt (3x) Il est bon pour moi. | Oh je L’aime tant (3x) Il est bon pour moi. | Il exauce les prières (3x) Il est bon pour moi. | Il a sauv
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu n'est pas mort.ppt	OK	1	195	195. DIEU N’EST PAS MORT ( E ) Dieu n’est pas mort, Il vit encore (2x) Je Le sens dans mes mains, Je Le sens dans mes pieds, Je Le sens dans mon cœur, Je Le sens tout au tour de moi (Alléluia !)
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu nous conduit.ppt	OK	8	1454	18. DIEU NOUS CONDUIT ( Eb ) *Dans de verts pâturages, Si doux et si riches Dieu conduit Ses très chers enfants; Là où coule l’eau qui ravive les fatigués Dieu conduit Ses très chers enfants. | Certains par les eaux ou p
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu parla à Moïse.ppt	OK	4	829	272.DIEU PARLA A MOÏSE ( Eb) Dieu parla à Moïse Lui donna un message Pour les enfants d’Israël A Goshen là-bas Tuez l’agneau prenez le sang Mettez-le sur les linteaux En Egypte cette nuit je passerai Et frapperai les pre
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu peut faire toute chose.ppt	OK	1	150	Dieu peut faire toute chose Dieu peut faire toute chose (x2) Il est l’Alpha et l’oméga Le commencement et la fin Dieu peut faire toute chose pour moi
D:\Project\Project-On\CANTIQUE D'ADORATION\Dieu soit avec vous.ppt	OK	8	1079	122. DIEU SOIT AVEC VOUS ( C ) * Dieu soit avec vous jusqu’au revoir ! Par Ses conseils, vous soutenant, Dans Sa bergerie vous gardant; Dieu soit avec vous jusqu’au revoir ! | Au revoir, au revoir ! Rendez-vous aux pieds
D:\Project\Project-On\CANTIQUE D'ADORATION\Doucement tendrement.ppt	OK	8	1040	19. DOUCEMENT, TENDREMENT ( Eb ) Doucement et tendrement Jésus appelle Appel pour toi et pour moi Il est au portail Il attend et veille Veille pour toi et pour moi | Oh, viens à la maison Toi qui est si fatigué Sincèreme
D:\Project\Project-On\CANTIQUE D'ADORATION\Doux Sant-Esprit.ppt	OK	1	247	218. DOUX SAINT-ESPRIT ( E ) Doux Saint Esprit, Douce colombe du Ciel, Reste ici avec nous Remplissant nos cœurs d’amour Pour Ta Parole, nous offrons Nos cœurs en prière Sans doute dans nos cœurs Nous attendant au réveil
D:\Project\Project-On\CANTIQUE D'ADORATION\E mondimi lemba te.ppt	OK	6	418	548. E MONDIMI LEMBA TE E mondimi lemba te Yokaka Mobateli Yo na kati na mabe Bondela ! | Satana abelemi, Mpe milimo na mabe Bakotelemela yo Bondela ! | Kamata bibundeli, Tika yango moke te Satana ajili yo, Bondela ! | Y
